uuid,name,brand,gender,price,description,primary_color,label,size,kids
a762dfc0-8da7-46d4-9ef1-3c7a085142da,her by invictus Women Brown Solid Cushioned Mules,her by invictus,Women,12.53,"A pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole", Brown,hat,XL,true
6e4581ed-c575-4d31-8aa4-9814bd6672a3,ID Men Beige Leather Derbys,ID,Men,32.22,"A pair of round-toe beige derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", Beige,longsleeve,L,true
70fd429b-73ec-4b4a-9173-2b6efbe7d6ee,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,SPYKAR,Women,13.49,"Blue medium wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops",Blue,longsleeve,S,true
841cdda3-162f-4ae3-a86b-3596f414801f,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,SPYKAR,Women,11.87,"Blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops",Blue,longsleeve,M,false
85c26e4d-f390-4405-8686-4ce202d43b14,Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE,Soie,Women,9.0,Nude-Coloured solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort, Red,longsleeve,XS,false
87665c15-a141-4ba4-9804-5e41fddefb71,Lara Karen Women Black Solid Maxi Satin Skirt,Lara Karen,Women,23.99,"Black solid woven maxi skirt, has a slip-on closure, flared hem", Black,longsleeve,XL,false
8af49c5b-d565-46fb-aeb7-2a49a73d17b4,Gini and Jony Girls Yellow Fit and Flare Embellished Dress,Gini and Jony,Girls,19.43,"Yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem", Yellow,longsleeve,XL,false
6c677bce-2564-46d4-8ca0-c372250aeaf4,Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,Unisex,14.39,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Off-White and bluePattern: Geometric,Blue,longsleeve,XS,true
91c4b8c1-fd2f-47ea-b496-8191d36a2e3b,PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801,PARFAIT,Women,14.27,Blue solid medium-coverage plunge bra with lace detailLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort,Blue,longsleeve,M,true
92a51811-7451-4d89-84aa-56ff44e5c4f4,Urban Dog Men Grey Solid Regular Fit Sports Shorts,Urban Dog,Men,4.79,"Grey solid mid-rise sports shorts, has two pockets, a drawstring closure", Grey,longsleeve,S,true
973b5b65-72ef-41b4-8290-0ee84dd44bce,ahilya Sterling Silver Textured Bangle,ahilya,Women,117.07,"Sterling silver textured bangle, has animal-shaped detail on the endsNote: This jewellery is handcrafted, therefore there might be slight variations from the image.", Red,longsleeve,XS,false
986a1c8f-f5b8-45a6-afc4-701a0255ac20,PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441,PARFAIT,Women,19.31,Blue solid medium-coverage T-shirt braLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort,Blue,longsleeve,S,false
9de134ba-d7c3-4f7c-8f44-217f213adca6,VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket,VASTRAMAY,Boys,17.63,"Navy Blue and maroon solid kurta with dhoti pantsNavy Blue straight above knee kurta, has a mandarin collar, long sleeves, curved hemGold-toned solid dhoti pants, slip-on closureMaroon woven design nehru jacket, has a mandarin collar, sleeveless, one welt pocket",Blue,longsleeve,L,true
a16d135e-9907-471b-9e5c-ac46a006764e,Difference of Opinion Men Grey Melange Printed Round Neck T-shirt,Difference of Opinion,Men,5.99,"Grey printed T-shirt, has round neck, long sleeves", Grey,longsleeve,XS,true
a9aa8ca4-d288-4bb0-a5da-c2af541743b0,Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt,Campus Sutra,Men,5.75,"White and blue colourblocked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",Blue,longsleeve,L,true
9d662e99-37a1-4e5a-a068-d38556d6c436,FIDO DIDO Men White Printed Round Neck T-shirt,FIDO DIDO,Men,5.39,"White and black printed T-shirt,has round neck,short sleeves", White,longsleeve,XS,true
aa8c2c36-a267-4a3b-9ec4-9a0aac37683c,MIAH Decor Beige & Black Indian Art Printed Set of 4 Ceramic Bowls,MIAH Decor,Unisex,17.63,Type: BowlsPattern: PrintedFinish: Matte Material: Ceramic, Black,longsleeve,S,true
3982179b-1523-4cea-868d-4dd3e71779b0,JEWEL JUNCTION Gold-Toned Geometric Cufflinks,JEWEL JUNCTION,Men,6.47,A pair of gold-toned and blue geometric printed cufflinksComes in a signature JEWEL JUNCTION case, Gold,longsleeve,XS,true
acf7a391-8450-453d-898b-2a4a9d2886f6,Vishudh Women Off-White & Green Floral Print A-Line Dress,Vishudh,Women,15.59,"Off-White and green printed woven A-line dress, has a mandarin collar, three-quarter sleeves, button closure,, flared hem", Green,longsleeve,L,false
bade5af9-c62c-4f10-9b52-c31f50211d48,Urban Dog Men Grey Printed Regular Fit Sports Shorts,Urban Dog,Men,4.79,"Grey printed mid-rise sports shorts, has two pockets, a drawstring closure", Grey,hat,S,false
beea9d8c-3723-45df-8e85-1bdad1adb324,PARFAIT Plus Size Women Navy Blue  White Solid Low-Rise Bikini Brief PP303,PARFAIT,Women,5.99,"Navy blue and white solid low rise bikini briefs, has an inner elasticated waistband with lace detail, double layered gusset",Blue,longsleeve,XL,false
bbb7cf34-ca92-4471-a1e0-df0cea61e9dd,SEJ by Nisha Gupta Set of 6 Yellow & Blue Printed Table Placemats,SEJ by Nisha Gupta,Unisex,10.79,Set content: 6 table mats Shape: Rectangle Colour: Yellow and bluePattern: Printed Suitable For: 6 seater table Material: Cotton ,Blue,longsleeve,XS,true
bd37c451-2e49-4688-bc91-84edac27bb7c,ID Men Brown Leather Loafers,ID,Men,14.62,"A pair of square toe brown loafers, has regular styling, slip-on detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer", Brown,longsleeve,XL,true
c17a15e5-7074-4e0c-83d4-430ac8a9dbf7,PARFAIT Plus Size Red Solid Underwired Lightly Padded T-shirt Bra P5391,PARFAIT,Women,19.31,Red solid medium-coverage T-shirt bra Lightly Padded and Underwired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort, Red,longsleeve,M,true
c5c2b0ac-d798-46a9-8f18-c5acb1fd5e08,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans,SPYKAR,Women,14.57,"Blue medium wash 5-pocket mid-rise cropped jeans, mildly distressed, light fade, has a button and zip closure, and waistband with belt loops",Blue,longsleeve,L,true
c9c6c0f7-b3b4-4f72-9ba3-f65f3d024d14,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans,SPYKAR,Women,10.79,"Blue dark wash 5-pocket mid-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops",Blue,longsleeve,L,false
cb84ea96-fd31-4c51-b01d-b66e07c28e36,Raymond Men Blue Regular Fit Self Design Formal Shirt,Raymond,Men,13.85,"Blue self-design formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket",Blue,longsleeve,XL,true
cbabc6f4-e6a8-4d02-9027-b746fa2749e4,BuckleUp Women Multicoloured Printed Belt,BuckleUp,Women,5.39,Multicoloured printed beltReversible: NoStretchable: NoSecured with a tangWarranty: 1 monthWarranty provided by brand/manufacturer, Red,longsleeve,M,true
cd6b14e7-970b-4472-9241-af346237ba75,Peter England Men Black Briefs PIWBK9146012,Peter England,Men,3.19,"A pair of black briefs, has an elasticated waistband and a panelled front with a double-layered contoured pouch", Black,longsleeve,XS,false
d2b3f788-d449-450a-ad4f-56c322bcb681,AIGNER Men Platinum Eau De Toilette Perfume 100 ml,AIGNER,Men,43.68,"NotesTop notes: Mandarin, bergamot, ozonic, orange, tamarind, cardamom, black pepper, clove tones and crisp mint leavesHeart notes: Spicy woody notesBase notes: Crystal amber, vanilla guaiacwood, olibanum, patchouli, sandalwood, moos", Platinum,longsleeve,S,true
bcc1aec3-9913-4a2d-b6a0-8f4d97e58b0c,Gini and Jony Girls Blue Solid Jacket,Gini and Jony,Girls,14.27,"Blue solid jacket, has a spread collar, 4 pockets, button closure, long sleeves, straight hem",Blue,hat,XL,true
d4eea203-72d6-4f7a-a212-ed214c7567f0,Homesake Gold-Toned Solid Handcrafted Table Lamp with Shade,Homesake,Unisex,22.03,Type: Handcrafted Table Lamp with ShadeColour: Gold-TonedPattern: SolidShape: FrustumShade material: FabricBase material: AluminiumSwitch Type: Toggle Button, Gold,longsleeve,XS,true
c399e385-258a-465c-95d1-ba216c16d7d1,Campus Sutra Men Black Solid Round Neck Faux Leather T-shirt,Campus Sutra,Men,8.39,"Black solid T-shirt, has a round neck, and long sleeves with faux leather detail", Black,hat,S,false
d898c146-ef98-42ef-ad34-062d0a089673,MIAH Decor Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with Lids,MIAH Decor,Unisex,37.39,Type:  Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with LidsPattern: PrintedFinish: GlossyMaterial: Ceramic,Blue,longsleeve,XL,true
d7bef10a-3d8d-4aa5-98d3-5cc639ee723f,Gini and Jony Girls Peach-Coloured Floral Embroidered Fit & Flare Dress,Gini and Jony,Girls,17.81,"Peach-Coloured net embroidered woven fit and flare dress with embellished detail, has a round neck, short sleeves, concealed zip closure, tie-up on the back, attached lining and flared hem", Red,longsleeve,L,true
ddc3da65-2ba7-4012-adf4-0b6e636fad6b,SEJ by Nisha Gupta Blue & Green Printed Wooden Open Dry Bin,SEJ by Nisha Gupta,Unisex,11.99,Set content: 1 open dry binColour: Blue and greenPattern: Floral printShape: Rectangular,Blue,longsleeve,XS,true
e5a96bcb-997e-48e8-bb48-fa31513a2df0,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,Men,10.31,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",Blue,longsleeve,M,false
d116fe9a-a72b-49e2-806d-e92f3a67a032,PARFAIT Plus Size Black Lace Non-Wired Non Padded Everyday Bra P5482,PARFAIT,Women,20.15,Black lace full-coverage everyday braNon padded and non-wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: Side Bone, Red,hat,L,false
ea1c48df-db46-4ceb-b168-3cd184975225,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,Men,11.27,"Blue checked casual shirt, has a spread collar, short sleeves, button placket,  curved hem, one patch pocket",Blue,longsleeve,XS,true
f127b3f0-9392-4eb6-b293-15b75993f7d7,Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-WHT-BLK,Lady Lyka,Women,5.1,Black and white solid medium-coverage beginners brasNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort,,longsleeve,XS,true
ff62e59f-c949-4f8e-8fca-798ab3e174c5,SEJ by Nisha Gupta Set of 4 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,Unisex,9.59,Set content: 4 table matsShape: RectangleColour:multicolouredPattern: PrintedSuitable For: 4 seater tableMaterial: Cotton, Red,hat,M,false
f595e51b-e236-48bd-94c2-814391176b62,her by invictus Women Red Cushioned Loafers,her by invictus,Women,15.59,"A pair of round closed toe red loafers with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole", Red,longsleeve,XL,true
f8ed83e3-5d6f-4f78-8838-2d6b8836d98b,JEWEL JUNCTION Gold-Toned & Black Round Cufflinks,JEWEL JUNCTION,Men,6.47,A pair of gold-toned and black round solid cufflinks, Black,longsleeve,M,true
fc34b591-392c-4ed8-8e26-71a386e0d9b3,PARFAIT Plus Size Black Solid Non-Wired Non Padded Sports Bra P5542,PARFAIT,Women,20.99,Black solid full-coverage Sports bra with mesh detailNon Padded and Non-Wired cut and sew cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort, Red,longsleeve,M,false
03a33083-e7bf-414d-bd35-c56273ae779c,her by invictus Women Tan Brown Cushioned Slip-on Shoes,her by invictus,Women,11.39,"A pair of pointed closed toe tan brown slip-on shoes with cushioned footbed and comfortable lining, has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole", Brown,longsleeve,S,false
0028956e-9962-46f0-ad45-2c42f8a59d94,DKNY Unisex Black Medium Trolley Bag,DKNY,Unisex,159.84,"Black solid medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer", Black,outwear,S,true
0df1efc7-34ba-4e11-b027-21ec8fa5a35e,Parx Men Yellow & Off-White Slim Fit Checked Casual Shirt,Parx,Men,7.76,"Yellow and off-white checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket", Yellow,longsleeve,M,true
01e4ab4f-6148-4dd7-9a43-df7681fbc71d,Story@home Mauve & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,Unisex,21.59,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Mauve and GreyPattern: Geometric, Grey,outwear,M,true
0a86d893-93f1-4a52-8c42-07bb9f439833,Parx Men Blue & Off-White Slim Fit Printed Casual Shirt,Parx,Men,9.35,"Blue and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket",Blue,outwear,M,false
0d73e759-eeaa-43ab-98d4-196b6974c41e,her by invictus Women Green Cushioned Slip-Ons,her by invictus,Women,23.99,"A pair of pointed toe green slip-ons with cushioned footbed, has regular styling, slip-on detailSynthetic Suede upperFoam cushioned footbedTextured and patterned outsole", Green,outwear,S,false
105c3674-f1d0-4fc6-8131-e53001670352,Park Avenue Women Blue Skinny Fit Mid-Rise Clean Look Jeans,Park Avenue,Women,6.83,"Blue dark wash five-pocket mid-rise jeans, clean look with light fade, has a button and zip closure, waistband with belt loops",Blue,outwear,M,false
1dcf0cd4-ca7e-46ac-90c7-ce465153a7f0,Roadster Women Black Textured Open Toe Flats,Roadster,Women,20.39,"A pair of black open-toed flats, has regular styling, no back strap detailSynthetic upperCushioned footbedTextured and patterned outsoleWarranty: 1 monthWarranty provided by brand/manufacturer", Red,outwear,XS,false
26d61cdc-a947-45f1-a16c-bf3eb23a67ed,her by invictus Women Black Textured Cushioned Flats,her by invictus,Women,11.33,"A pair of black pointed toe cushioned flats, has regular styling, slip-on detailSynthetic upperCushioned footbedTextured and patterned outsole", Red,outwear,S,false
2edb1db6-cd17-41d2-88e0-ba34801b656d,U.S. Polo Assn. Denim Co. Men Navy Blue Solid Bomber Jacket,U.S. Polo Assn. Denim Co.,Men,41.99,"Navy solid bomber jacket, has a stand collar, 2 pockets, zip closure, long sleeves, straight hem, and attached lining with 3 inner pockets",Blue,outwear,XL,true
